State_TW,State_EN,Gender,總 計 Total,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
密克羅尼西亞,(MICRONESIA),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
帛琉,(PALAU),Male,9,0,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帛琉,(PALAU),Female,24,1,12,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
阿爾巴尼亞,(ALBANIA),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
阿爾巴尼亞,(ALBANIA),Female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奧地利,(AUSTRIA),Male,79,16,29,5,9,2,5,0,2,1,2,0,0,1,0,0,1,0,2,4,0,0,0
奧地利,(AUSTRIA),Female,33,4,15,2,3,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
比利時,(BELGIUM),Male,98,27,32,9,11,4,5,1,2,0,0,0,2,0,0,0,0,0,0,5,0,0,0
比利時,(BELGIUM),Female,24,6,10,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
保加利亞,(BULGARIA),Male,11,0,3,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0
保加利亞,(BULGARIA),Female,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
白俄羅斯,(BELARUS),Male,37,5,9,2,3,0,1,0,3,0,0,0,0,0,0,0,12,0,0,2,0,0,0
白俄羅斯,(BELARUS),Female,33,3,8,2,3,0,2,0,0,0,0,0,0,0,1,0,13,0,0,1,0,0,0
捷克,(CZECH),Male,59,5,28,3,4,7,6,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
捷克,(CZECH),Female,28,6,9,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
丹麥,(DENMARK),Male,56,7,29,4,6,2,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
丹麥,(DENMARK),Female,25,1,14,1,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
芬蘭,(FINLAND),Male,34,10,18,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
芬蘭,(FINLAND),Female,13,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
法國,(FRANCE),Male,"1,086",165,533,44,94,49,82,6,16,3,15,6,4,2,6,5,11,5,5,33,2,0,0
法國,(FRANCE),Female,382,55,217,17,28,13,28,0,7,0,3,0,1,0,0,1,2,0,2,8,0,0,0
德國,(GERMANY),Male,675,101,323,31,53,31,54,4,10,6,2,7,2,5,4,3,1,0,4,30,4,0,0
德國,(GERMANY),Female,220,21,124,4,18,12,8,0,2,0,2,0,1,1,1,0,6,0,1,19,0,0,0
希臘,(GREECE),Male,38,8,18,3,2,1,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0
希臘,(GREECE),Female,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
匈牙利,(HUNGARY),Male,45,8,14,6,5,2,4,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0
匈牙利,(HUNGARY),Female,32,1,13,1,2,1,3,6,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0
冰島,(ICELAND),Male,6,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冰島,(ICELAND),Female,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛爾蘭,(IRELAND),Male,131,27,39,5,21,5,15,1,5,0,1,0,1,1,1,2,3,0,0,3,1,0,0
愛爾蘭,(IRELAND),Female,24,4,11,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
義大利,(ITALY),Male,323,54,119,21,33,11,37,12,8,1,3,1,1,1,7,4,0,0,1,8,0,1,0
義大利,(ITALY),Female,101,15,45,3,6,3,18,0,2,1,1,0,0,0,6,0,0,0,0,1,0,0,0
盧森堡,(LUXEMBOURG),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盧森堡,(LUXEMBOURG),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬爾他,(MALTA),Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬爾他,(MALTA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荷蘭,(NETHERLANDS),Male,233,38,91,22,19,11,22,2,5,0,2,1,0,1,0,1,3,0,2,13,0,0,0
荷蘭,(NETHERLANDS),Female,54,6,35,0,5,1,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
挪威,(NORWAY),Male,18,3,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
挪威,(NORWAY),Female,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
波蘭,(POLAND),Male,100,21,32,6,5,2,13,0,2,0,0,0,0,1,0,0,3,0,1,10,4,0,0
波蘭,(POLAND),Female,95,27,35,4,6,5,8,1,1,0,2,0,0,0,0,0,0,0,1,5,0,0,0
葡萄牙,(PORTUGAL),Male,66,7,12,4,8,3,25,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0
葡萄牙,(PORTUGAL),Female,19,4,9,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
羅馬尼亞,(ROMANIA),Male,26,3,14,3,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
羅馬尼亞,(ROMANIA),Female,14,0,9,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西班牙,(SPAIN),Male,272,48,97,11,31,8,47,0,6,1,1,1,0,1,8,0,2,0,1,9,0,0,0
西班牙,(SPAIN),Female,95,9,38,3,7,4,18,0,0,1,0,0,2,1,10,0,2,0,0,0,0,0,0
瑞典,(SWEDEN),Male,111,14,58,7,6,4,5,1,3,0,2,1,0,0,1,0,0,0,0,8,1,0,0
瑞典,(SWEDEN),Female,38,6,23,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
瑞士,(SWITZERLAND),Male,139,19,60,16,12,2,10,2,2,1,1,0,0,1,0,4,4,0,0,5,0,0,0
瑞士,(SWITZERLAND),Female,47,4,22,5,3,1,5,1,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0
烏克蘭,(UKRAINE),Male,92,14,12,3,10,2,10,0,7,0,0,0,2,0,1,0,14,0,0,17,0,0,0
烏克蘭,(UKRAINE),Female,94,9,13,3,16,0,28,1,7,0,0,1,0,0,1,0,5,0,0,10,0,0,0
英國,(UNITED KINGDOM),Male,"1,541",242,617,70,178,79,137,14,37,15,30,16,11,4,16,5,18,1,8,40,3,0,0
英國,(UNITED KINGDOM),Female,378,45,195,23,27,11,28,3,9,2,7,6,4,1,4,1,4,0,0,6,2,0,0
巴布亞紐幾內亞,(PAPUA NEW GUINEA),Male,8,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
巴布亞紐幾內亞,(PAPUA NEW GUINEA),Female,10,1,4,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
拉脫維亞,(LATVIA),Male,5,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
拉脫維亞,(LATVIA),Female,7,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
愛沙尼亞,(ESTONIA),Male,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
愛沙尼亞,(ESTONIA),Female,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,(ARMENIA),Male,13,2,5,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,(ARMENIA),Female,7,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俄羅斯,(RUSSIAN FEDERATION),Male,235,53,82,25,18,8,16,0,6,4,2,0,0,2,2,0,7,0,0,10,0,0,0
俄羅斯,(RUSSIAN FEDERATION),Female,301,51,126,16,27,12,35,1,4,0,3,2,1,4,2,0,3,0,1,13,0,0,0
立陶宛,(LITHUANIA),Male,6,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立陶宛,(LITHUANIA),Female,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
烏玆別克,(UZBEKISTAN),Male,21,1,2,1,1,0,5,0,1,0,0,0,1,0,4,0,1,0,1,3,0,0,0
烏玆別克,(UZBEKISTAN),Female,23,6,2,4,2,0,4,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0
哈薩克,(KAZAKHSTAN),Male,12,2,2,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
哈薩克,(KAZAKHSTAN),Female,7,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
摩爾多瓦,(MOLDOVA),Male,7,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
摩爾多瓦,(MOLDOVA),Female,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉爾吉斯,(KYRGYZSTAN),Male,9,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉爾吉斯,(KYRGYZSTAN),Female,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塔吉克,(TAJIKISTAN),Male,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塔吉克,(TAJIKISTAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
土庫曼,(TURKMEN),Male,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
土庫曼,(TURKMEN),Female,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞塞拜然,(AZERBAIJAN),Male,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
亞塞拜然,(AZERBAIJAN),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喬治亞,(GEORGIA),Male,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喬治亞,(GEORGIA),Female,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克羅埃西亞,(CROATIA),Male,26,3,6,3,4,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
克羅埃西亞,(CROATIA),Female,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯洛維尼亞,(SLOVENIA),Male,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
斯洛維尼亞,(SLOVENIA),Female,13,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0
馬其頓,(MACEDONIA),Male,13,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬其頓,(MACEDONIA),Female,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波士尼亞,(BOSNIA),Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波士尼亞,(BOSNIA),Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
斯洛伐克,(SLOVAKIA),Male,27,5,9,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,3,1,0,0
斯洛伐克,(SLOVAKIA),Female,12,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞爾維亞,(SERBIA),Male,15,3,2,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
塞爾維亞,(SERBIA),Female,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,(BARBADOS),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,(BARBADOS),Female,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
加拿大,(CANADA),Male,"1,556",243,520,114,186,73,164,18,35,9,20,16,10,6,18,13,20,0,11,65,14,1,0
加拿大,(CANADA),Female,649,76,256,38,89,14,72,5,20,5,12,3,7,3,3,3,5,0,4,26,8,0,0
哥斯大黎加,(COSTA RICA),Male,15,3,3,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哥斯大黎加,(COSTA RICA),Female,11,2,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
古巴,(CUBA),Male,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古巴,(CUBA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多明尼加,(DOMINICAN),Male,42,9,8,11,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
多明尼加,(DOMINICAN),Female,24,9,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
薩爾瓦多,(EL SALVADOR),Male,89,20,29,7,1,19,4,0,0,1,1,1,1,0,2,0,1,0,0,2,0,0,0
薩爾瓦多,(EL SALVADOR),Female,60,15,22,3,2,6,5,0,1,0,1,0,0,0,1,0,2,0,0,2,0,0,0
瓜地馬拉,(GUATEMALA),Male,63,13,15,9,1,5,9,0,0,0,2,0,1,0,2,0,2,0,0,4,0,0,0
瓜地馬拉,(GUATEMALA),Female,58,8,26,7,3,3,6,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
海地,(HAITI),Male,100,12,11,32,4,16,3,2,3,0,1,1,0,0,2,0,0,0,2,11,0,0,0
海地,(HAITI),Female,27,1,2,14,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
宏都拉斯,(HONDURAS),Male,161,24,45,16,4,20,17,2,1,0,0,0,0,1,2,0,1,0,1,27,0,0,0
宏都拉斯,(HONDURAS),Female,95,10,31,10,4,9,13,0,1,0,0,0,1,3,2,0,2,0,1,8,0,0,0
牙買加,(JAMAICA),Male,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
牙買加,(JAMAICA),Female,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
墨西哥,(MEXICO),Male,138,21,48,19,10,11,7,2,2,0,2,2,2,1,2,2,2,0,0,3,1,1,0
墨西哥,(MEXICO),Female,75,13,22,5,15,3,2,1,0,0,0,2,1,1,3,0,3,0,0,2,0,2,0
尼加拉瓜,(NICARAGUA),Male,97,20,32,13,6,11,6,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0
尼加拉瓜,(NICARAGUA),Female,57,6,23,3,1,16,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
巴拿馬,(PANAMA),Male,73,7,38,3,1,10,2,0,0,0,0,0,0,0,2,0,0,0,1,9,0,0,0
巴拿馬,(PANAMA),Female,71,5,48,1,2,6,1,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0
美國,(U S A),Male,"7,169","1,030","2,924",379,971,283,541,63,196,40,86,35,39,24,46,48,67,8,35,298,41,14,1
美國,(U S A),Female,"3,037",325,"1,354",118,469,85,259,28,71,12,33,18,15,13,17,36,19,4,16,105,11,29,0
格瑞那達,(GRENADA),Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
格瑞那達,(GRENADA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬紹爾群島國,(MARSHALL),Male,14,3,2,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
馬紹爾群島國,(MARSHALL),Female,15,2,7,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
阿根廷,(ARGENTINA),Male,37,5,12,2,5,1,4,1,1,0,0,0,1,0,1,0,0,0,0,2,0,2,0
阿根廷,(ARGENTINA),Female,19,2,5,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0
玻利維亞,(BOLIVIA),Male,13,1,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
玻利維亞,(BOLIVIA),Female,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴西,(BRAZIL),Male,146,30,39,16,11,6,15,4,0,1,1,3,0,10,1,0,4,0,0,3,1,1,0
巴西,(BRAZIL),Female,128,24,39,16,10,6,9,1,1,1,3,0,4,1,4,1,2,0,2,1,3,0,0
智利,(CHILE),Male,30,10,8,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0
智利,(CHILE),Female,19,8,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
哥倫比亞,(COLOMBIA),Male,55,8,17,4,6,4,4,1,3,0,0,1,0,1,0,1,0,0,0,5,0,0,0
哥倫比亞,(COLOMBIA),Female,34,8,11,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
厄瓜多,(ECUADOR),Male,31,15,6,0,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
厄瓜多,(ECUADOR),Female,18,9,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烏拉圭,(URUGUAY),Male,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
烏拉圭,(URUGUAY),Female,11,1,1,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
巴拉圭,(PARAGUAY),Male,59,9,19,3,3,9,2,7,1,0,0,1,0,0,0,1,0,0,0,4,0,0,0
巴拉圭,(PARAGUAY),Female,66,14,20,2,4,5,6,8,0,0,0,1,0,0,1,0,1,0,0,2,2,0,0
秘魯,(PERU),Male,40,4,16,7,4,2,0,2,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0
